item_id,category_name,item_description,item_title,business_line,tf_code
1345655,زولبیا بامیه, ±۵۰ گرم,زولبیا و بامیه ریز پنج کیلوگرم,,2z67m3
1345656,زولبیا بامیه, ±۵۰ گرم,زولبیا و بامیه بلند پنج کیلوگرم,,2z67m3
1345657,زولبیا بامیه, ±۵۰ گرم,زولبیا و بامیه رژیمی پنج کیلوگرم,,2z67m3
1345658,زولبیا بامیه," ±۵۰ گرم، زولبیا، شهد، مناسب مراسم مذهبی و پذیرایی همراه چای",زولبیا پنج کیلوگرم,,2z67m3
1345659,زولبیا بامیه, ±۵۰ گرم,زولبیا رژیمی پنج کیلوگرم,,2z67m3
1345660,زولبیا بامیه," ±۵۰ گرم، گوشفیل با شهد گلاب، مناسب مراسم مذهبی و پذیرایی همراه چای",گوشفیل پنج کیلوگرم,,2z67m3
1345694,حبه میوه‌,"وزن هر بسته 215 گرم، مخلوط خرما ساده، خرما دارچین، خرما زنجبیل، خرما کنجد، خرما هل و خرما قهوه، ۱۰۰ درصد طبیعی، فاقد و مواد نگهدارنده",حبه مخلوط خرما یک بسته,,2z67m3
1345712,حبه میوه‌,"وزن هر بسته 215 گرم، ترکیبات: خمیر خرما کبکاب درجه یک، گردو، ۱۰۰% طبیعی، فاقد و موادنگهدارنده، در دمای یخچال، به دور از نور خورشید نگهداری شود.",حبه خرما گردو سه بسته,,2z67m3
1345713,حبه میوه‌,"وزن هر بسته 215 گرم، صددرصد طبیعی، فاقدموادنگهدارنده و افزودنی، فاقد شکر، گلوکز و ژلاتین، حبه میوه: قسمت های سورت نشده میوه خشک، قالب گیری و چرخ می شوند، پیشنهاد ویژه: به جای قند از میوه های شیرین، به جای آلو و ترشیجات از میوه های ترش، قیمت درج شده، قیمت مصرف کننده محصول می باشد",حبه خرما زنجبیل سه بسته,,2z67m3
1345714,حبه میوه‌,"ترکیبات: خمیر خرما کبکاب با پودر دارچین، خواص: ضدالتهاب قوی، بهبود بیماری های عصبی، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما دارچین (215 گرم),,2z67m3
1345715,حبه میوه‌,"وزن هر بسته 215 گرم، ترکیبات: خمیر خرما کبکاب با کنجد، خواص: مقابله با عفونت ها، تسکین اضطراب و درد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما گل محمدی سه بسته,,2z67m3
1345716,حبه میوه‌,"وزن هر بسته 215 گرم، ترکیبات: خمیر خرما کبکاب، هل، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما هل سه بسته,,2z67m3
1345718,حبه میوه‌,"وزن هر بسته 215 گرم، ترکیبات: خمیر خرما، کنجد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده",حبه خرما کنجد سه بسته,,2z67m3
1345719,حبه میوه‌,"وزن هر بسته 215 گرم، ترکیبات: خمیر خرما کبکاب: خواص: کاهش نفخ و انرژی زا، ۱۰۰% طبیعی، فاقد و موادنگهدارنده",حبه خرما ساده سه بسته,,2z67m3
1345722,شیرینی سنتی و ارگانیک,"شیره انگور، شیره خرما، شیره توت، عصاره گیاهی چوبک، کنجد و مغزیجات",حلوا مغزین سه شیره (250 گرم),,2z67m3
1345990,شیرینی خشک,"±۵۰ گرم، زولبیا، بامیه، گوشفیل هندی",زولبیا بامیه مخلوط 500 گرم,Pastry,2xwn9l
1346326,غذای پرسی,یک پرس,شله زرد (300 گرم),Restaurant,5m34no
1346328,غذای پرسی, ,فرنی (300 گرم),Restaurant,5m34no
1346431,سوغات,,چیپس خرما پیارم (500 گرم),Pastry,5rwy8p
1346716,خشکبار,±۵۰ گرم,خرما پیارم شکلاتی 250 گرم,,23kw6w
1346717,خشکبار,±۵۰ گرم,خرما پیارم اعلا 250 گرم,,23kw6w
1346718,خشکبار,±۵۰ گرم,خرما خنیزی 250 گرم,,23kw6w
